date,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,Market,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,MW1,MW2,MW3,MW4,MW5,MW6,MW7,MW8,MW9,MW10,MW11,MW12,MW13,MW14,MW15,MW16,MW17,MW18,MW19,MW20,MW21,MW22,MW23,MW24,MW25,SENT
194601,33.9686,10.0373,11.9724,11.8572,16.7978,7.4002,9.036,7.7191,8.0329,12.5273,5.8846,9.2409,6.5432,5.347,15.4063,5.0333,8.3566,9.1451,7.1939,9.6179,6.1147,4.204,4.22,6.4578,7.8056,6.21161833,0.00076851,0.002635554,0.003287514,0.004531522,0.004321145,0.005793089,0.006536464,0.007740876,0.008435014,0.005552069,0.012990293,0.012749789,0.012775441,0.012637715,0.010174834,0.034376348,0.031957539,0.019497835,0.022130462,0.019572379,0.301588064,0.154528294,0.156897177,0.065890754,0.082631319,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194602,-5.0843,-10.4192,-6.4357,-6.7458,-6.0782,-5.0668,-6.4035,-7.2285,-6.2801,-7.6633,-6.625,-6.2502,-5.9101,-8.524,-9.7258,-5.1537,-6.1724,-5.361,-6.9042,-7.1599,-5.8944,-4.2709,-5.078,-6.7272,-7.6393,-5.875564769,0.000968455,0.002733488,0.003466606,0.004771188,0.004755445,0.00585504,0.006707612,0.007841129,0.00857733,0.005883443,0.012958182,0.012635202,0.012807566,0.012528082,0.011042046,0.034018474,0.032638259,0.020056293,0.022340529,0.020210155,0.301562091,0.151746742,0.153971251,0.066052971,0.083872419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194603,-4.3596,3.2112,4.9402,4.2098,3.6462,3.6589,8.3629,5.4269,8.1713,4.1166,6.9311,8.2428,8.5679,8.3644,5.2811,9.1338,8.3983,8.2392,6.1573,4.937,4.5601,4.3255,8.3586,7.5089,3.7828,5.8618463,0.000979312,0.002604751,0.003448264,0.004737925,0.0047573,0.005912026,0.00666022,0.007741078,0.008544457,0.005782282,0.01288173,0.01260598,0.012787622,0.012184223,0.010610509,0.034294077,0.032605668,0.020186175,0.022136149,0.01997374,0.301181713,0.154601866,0.155394519,0.065186426,0.08220199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194604,2.835,5.7514,15.7683,6.6375,6.4582,4.2274,8.6448,7.5569,6.7579,7.6125,3.8739,5.449,5.4871,6.6541,3.6509,6.3345,3.7329,7.7602,2.7045,1.2455,3.3775,4.0411,5.3517,5.7087,1.8683,4.28407934,0.000888054,0.00254369,0.003419615,0.004663841,0.004663185,0.005790053,0.006824477,0.007706303,0.008727123,0.005691709,0.013007746,0.012873342,0.013138873,0.012474225,0.010538143,0.035377923,0.033359886,0.020611771,0.02224954,0.019814522,0.297896404,0.151927723,0.159077394,0.066347374,0.080387085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194605,9.0511,7.7383,4.6716,2.0442,6.7951,6.165,4.8788,6.0366,4.0481,8.853,5.2277,7.8051,7.5096,5.7264,4.4323,5.1098,4.2503,5.0911,7.76,10.4939,2.5252,4.0168,1.8727,5.6557,5.6584,3.968614345,0.00087628,0.002579766,0.003798473,0.004772276,0.004765984,0.00578839,0.00710399,0.007944565,0.008935512,0.005882766,0.012950893,0.013019158,0.013283096,0.012755849,0.010468649,0.036089351,0.033191067,0.021305993,0.021836071,0.019246396,0.295244051,0.151630957,0.160741065,0.067215788,0.078573615,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194606,-6.0624,-4.3613,-5.8161,-4.3797,-6.0394,-4.1943,-5.6567,-5.3094,-5.5251,-5.9566,-5.4361,-5.5537,-4.6814,-6.3661,-4.8236,-5.4627,-6.2649,-5.5033,-6.2647,-5.3131,-4.3354,-2.4687,-1.0891,-5.6478,-2.8036,-3.822858489,0.000920126,0.002679714,0.003823909,0.004696183,0.004906732,0.005916941,0.007162917,0.008126642,0.008946962,0.006171393,0.013149434,0.013189842,0.013747356,0.012988104,0.010528965,0.036519453,0.033336913,0.021539489,0.0226372,0.020478086,0.291410044,0.152010552,0.157209865,0.068168025,0.079735152,0.000265444,0.000547463,0.001017545,0.001812743,0.002725574,0.002464079,0.003899129,0.004482023,0.00489268,0.003969231,0.00806507,0.009836556,0.010157972,0.009781555,0.006197242,0.029407825,0.028319846,0.023006415,0.017252899,0.009798353,0.36443207,0.202072088,0.148366147,0.07999717,0.027232881,1
194607,-6.7108,-6.7844,-4.2836,-3.3259,-6.555,-4.5615,-5.1181,-3.6395,-4.199,-4.6459,-5.3103,-2.417,-4.5586,-3.329,-4.618,-3.8157,-2.3029,-4.0852,-3.9759,-6.2846,-2.1416,-4.2881,-1.6871,-1.3339,-2.3643,-2.706654521,0.002705034,0.00236852,0.003514025,0.003694878,0.004263271,0.005242457,0.008664118,0.009449534,0.00777665,0.006799402,0.011100134,0.013205449,0.012953548,0.01441167,0.013348355,0.033219504,0.029179877,0.025408783,0.020676911,0.021901055,0.238312661,0.110357703,0.133069849,0.164500852,0.103875762,0.000281918,0.000560019,0.001035789,0.001827114,0.002736171,0.002478886,0.003937887,0.004517282,0.00491204,0.003983871,0.008086349,0.0098528,0.01018441,0.009805208,0.006245499,0.029432538,0.02831854,0.022972814,0.017261456,0.0098902,0.363864364,0.201253238,0.148150915,0.080577559,0.027833133,1
194608,-9.5814,-8.7593,-9.5031,-7.7164,-9.1687,-7.311,-8.0294,-8.3445,-8.3705,-8.0254,-9.1015,-8.0812,-7.2074,-6.547,-8.489,-6.683,-6.2818,-6.6022,-5.5885,-9.21,-5.9885,-6.6977,-6.6698,-5.0374,-6.7312,-6.424506743,0.002596321,0.002273277,0.003384989,0.003672472,0.004101536,0.005143787,0.008455327,0.009358987,0.007652036,0.006669608,0.010808534,0.01324084,0.012697447,0.014325133,0.013089787,0.032870785,0.029316297,0.025068859,0.020418944,0.021074672,0.239761239,0.108315324,0.134613879,0.166960215,0.104129703,0.000296864,0.000571505,0.001052531,0.001841038,0.002745266,0.002492364,0.003974007,0.004550907,0.00493065,0.003997281,0.008105035,0.009868588,0.010209298,0.009826717,0.006290835,0.029455334,0.028319254,0.022937406,0.017268853,0.009973115,0.363347688,0.200421367,0.14795475,0.081152925,0.028416421,1
194609,-16.0483,-18.3369,-15.1362,-15.1798,-18.3359,-14.3426,-13.5813,-13.7409,-13.1259,-16.067,-13.6794,-11.8875,-12.9416,-11.9351,-14.7987,-11.1936,-10.0817,-14.1385,-8.8495,-16.3562,-9.8348,-8.8375,-6.427,-8.3522,-13.0468,-10.08310638,0.002507496,0.002218842,0.003278787,0.003618968,0.003986605,0.005095759,0.008313035,0.009171332,0.007513931,0.006576829,0.010518326,0.013002823,0.012607015,0.014302571,0.012820431,0.032792146,0.029329897,0.025061234,0.020646907,0.020466654,0.240752627,0.108053763,0.134446302,0.169525576,0.103392145,0.000310064,0.000581947,0.001067345,0.001853693,0.002752339,0.00250402,0.004007121,0.004580515,0.004947149,0.004007869,0.00812113,0.009880859,0.010232495,0.009844811,0.00632945,0.029476758,0.028318386,0.022900639,0.017276113,0.010045401,0.362920656,0.199621572,0.147776297,0.081691036,0.028952333,1
194610,-4.0974,-3.6552,1.5645,-1.5694,0.2242,-3.746,-2.614,-1.1305,-0.8591,-0.5915,-1.7631,-2.5476,-3.0638,-0.4008,0.8298,-3.5778,-1.0453,-2.1924,-1.0285,2.8959,-2.4052,-2.6538,-3.4396,0.2033,0.7958,-1.5598165,0.002345439,0.002015636,0.003093017,0.003417446,0.003628822,0.004861053,0.007986911,0.008781463,0.007235352,0.006141451,0.010103061,0.012736305,0.011774962,0.013988241,0.012118299,0.032431303,0.029307236,0.023867386,0.020880853,0.019062063,0.241967111,0.10969663,0.139274156,0.17291281,0.100372993,0.000320824,0.000590065,0.001079583,0.001864027,0.002756307,0.00251292,0.004035299,0.004604348,0.004960754,0.004014211,0.008133367,0.009889474,0.01024957,0.009856846,0.006360026,0.029493069,0.028317787,0.022858621,0.017281851,0.010101489,0.36259949,0.198876966,0.147638169,0.082187824,0.029417115,1
